"filename", "language", "Python", "Markdown", "XML", "TypeScript JSX", "JSON", "comment", "blank", "total"
"c:\dev-fg\GPT-Games\Tactic\Animation.py", "Python", 154, 0, 0, 0, 0, 21, 44, 219
"c:\dev-fg\GPT-Games\Tactic\Boat.py", "Python", 92, 0, 0, 0, 0, 14, 23, 129
"c:\dev-fg\GPT-Games\Tactic\BuildTeam.py", "Python", 543, 0, 0, 0, 0, 15, 106, 664
"c:\dev-fg\GPT-Games\Tactic\Bullet.py", "Python", 54, 0, 0, 0, 0, 2, 11, 67
"c:\dev-fg\GPT-Games\Tactic\ConnectToServer.py", "Python", 57, 0, 0, 0, 0, 3, 16, 76
"c:\dev-fg\GPT-Games\Tactic\Connection.py", "Python", 198, 0, 0, 0, 0, 26, 43, 267
"c:\dev-fg\GPT-Games\Tactic\DashedLine.py", "Python", 45, 0, 0, 0, 0, 6, 22, 73
"c:\dev-fg\GPT-Games\Tactic\Database.py", "Python", 18, 0, 0, 0, 0, 1, 9, 28
"c:\dev-fg\GPT-Games\Tactic\Encryption.py", "Python", 50, 0, 0, 0, 0, 0, 8, 58
"c:\dev-fg\GPT-Games\Tactic\Game.py", "Python", 382, 0, 0, 0, 0, 31, 82, 495
"c:\dev-fg\GPT-Games\Tactic\GraphicUI.py", "Python", 740, 0, 0, 0, 0, 85, 201, 1026
"c:\dev-fg\GPT-Games\Tactic\Helicopter.py", "Python", 154, 0, 0, 0, 0, 14, 29, 197
"c:\dev-fg\GPT-Games\Tactic\Inputs.py", "Python", 44, 0, 0, 0, 0, 4, 7, 55
"c:\dev-fg\GPT-Games\Tactic\Item.py", "Python", 16, 0, 0, 0, 0, 0, 3, 19
"c:\dev-fg\GPT-Games\Tactic\Lobby.py", "Python", 67, 0, 0, 0, 0, 5, 18, 90
"c:\dev-fg\GPT-Games\Tactic\MainFrame.py", "Python", 223, 0, 0, 0, 0, 10, 46, 279
"c:\dev-fg\GPT-Games\Tactic\MusicPlayer.py", "Python", 14, 0, 0, 0, 0, 4, 8, 26
"c:\dev-fg\GPT-Games\Tactic\PlankAndBall (2).py", "Python", 209, 0, 0, 0, 0, 43, 43, 295
"c:\dev-fg\GPT-Games\Tactic\PlankAndBall.py", "Python", 207, 0, 0, 0, 0, 43, 44, 294
"c:\dev-fg\GPT-Games\Tactic\Player.py", "Python", 40, 0, 0, 0, 0, 4, 11, 55
"c:\dev-fg\GPT-Games\Tactic\PlayerAI.py", "Python", 95, 0, 0, 0, 0, 5, 19, 119
"c:\dev-fg\GPT-Games\Tactic\RandomEvents.py", "Python", 274, 0, 0, 0, 0, 17, 92, 383
"c:\dev-fg\GPT-Games\Tactic\Soldier.py", "Python", 317, 0, 0, 0, 0, 30, 78, 425
"c:\dev-fg\GPT-Games\Tactic\Tank.py", "Python", 93, 0, 0, 0, 0, 17, 26, 136
"c:\dev-fg\GPT-Games\Tactic\Unit.py", "Python", 570, 0, 0, 0, 0, 58, 150, 778
